Square_Feet,Bedrooms,Age,Price
7770,3,17,1160400
1360,3,33,160380
5890,4,23,867207
5691,3,9,870029
6234,6,6,988168
6765,4,2,1037656
966,5,38,114795
4926,3,9,750320
6078,5,3,950912
8822,3,16,1315623
2185,3,25,320684
1269,5,24,179698
7449,1,47,1013925
2933,1,29,411889
5811,1,44,789398
5551,6,40,795993
6920,1,26,1001391
1684,3,38,209007
5055,2,35,697404
3885,5,23,588305
6896,2,4,1053023
9166,6,42,1369077
9774,2,14,1475409
3058,4,47,404944
8349,1,39,1192277
2547,6,7,409117
3247,3,8,498315
9667,1,42,1362959
689,1,19,76766
3234,2,2,495336
3505,4,47,483115
5158,1,1,787825
2399,5,42,316779
8234,5,38,1220511
1767,1,13,244369
2028,2,42,255784
4056,2,44,526811
4390,3,24,652102
9338,6,32,1383904
5893,6,30,882849
9292,6,6,1446317
8933,4,38,1318457
8013,2,33,1140002
3112,3,44,427354
7541,5,23,1127163
6735,6,10,1067738
5986,5,46,872394
7599,5,15,1140528
1275,1,23,165602
8726,4,36,1265998
3652,3,1,564259
2085,4,8,355644
4443,1,3,678129
8055,3,14,1222916
3573,3,17,525177
1521,2,34,165056
4343,4,47,585348
8489,4,6,1315234
7373,2,5,1102294
6175,5,46,891616
661,1,41,17986
4797,4,40,676992
1495,2,29,178936
8129,3,35,1169706
9967,6,18,1526843
1516,2,40,149891
8369,6,48,1220556
6939,5,30,1024778
8392,1,15,1258572
7363,6,15,1126010
8416,5,16,1267411
9029,6,33,1350434
1378,3,10,225333
9768,3,19,1442062
5387,3,37,782168
5359,3,3,820532
6831,2,36,964353
9071,3,4,1377746
9184,3,11,1379706
7708,2,41,1074555
5776,3,33,818832
2562,5,28,374000
564,5,32,75796
8506,4,16,1295550
3068,5,9,489438
5963,1,11,890226
2527,1,6,363754
3195,1,49,391258
5758,2,27,825079
6118,5,12,932273
7236,1,22,1053815
891,4,40,96216
6392,2,48,863932
4061,4,37,589997
6684,5,21,991544
3599,3,33,489690
6778,4,17,1042142
8892,3,29,1319402
3604,2,40,480734
7715,4,10,1161434
2954,4,18,455063
9496,6,47,1377578
3231,2,13,463818
8654,2,27,1276754
5556,1,10,808391
8610,5,32,1265646
4340,4,41,594290
1528,4,45,183749
7885,2,3,1191594
1002,2,22,135182
7410,5,27,1087528
9562,2,3,1446544
7438,3,33,1067634
4988,3,2,784045
706,6,11,159240
5634,3,46,783498
6477,3,10,991611
8221,5,39,1187277
7535,4,33,1094333
1984,3,7,312691
8358,6,15,1273633
1363,2,26,168327
3290,3,11,516081
7908,6,38,1162719
9255,5,27,1372066
5616,2,39,772751
6519,6,7,1019498
2257,3,1,374011
8074,4,10,1250117
6874,2,21,1004541
7392,2,15,1118053
2178,4,30,295877
3742,2,30,535873
5136,3,8,785831
1559,2,24,207774
7168,3,19,1082064
3657,4,3,575043
6415,1,15,927587
3193,4,36,442985
4127,3,6,640368
5950,5,42,842282
2163,4,48,262248
6092,5,18,927684
7892,5,38,1146874
1806,3,19,270249
7276,3,49,1030307
6364,1,30,906589
9974,6,13,1549287
8026,2,39,1134524
9401,4,12,1414039
6075,3,34,880506
6030,4,12,910955
4913,6,44,700144
4248,6,24,650822
1163,5,4,223438
2498,2,36,310270
8494,1,48,1189587
1995,4,14,291867
3804,2,17,542885
4263,1,49,564674
5732,4,3,874300
2353,2,38,305944
7085,3,23,1063392
1791,4,13,285664
4081,2,9,599123
8054,6,21,1210874
7780,1,41,1090519
2136,2,8,324980
4196,3,17,628499
1198,4,16,205184
5237,4,16,786852
1354,4,28,170334
8664,3,16,1284094
6355,1,46,865489
7892,4,46,1116298
7028,1,14,1021467
5749,2,46,782896
5672,6,44,827279
2207,6,38,331487
6291,1,20,903307
6035,1,45,827703
5431,6,48,793379
4010,4,41,556759
702,5,34,95945
4718,5,29,691793
9458,3,3,1431434
4889,6,10,756866
2827,6,20,439082
8504,3,2,1302483
3431,5,27,516244
8277,2,32,1203554
697,4,10,117720
7625,4,40,1122465
2430,2,17,347458
6787,2,33,969892
9300,5,6,1439075
9839,3,39,1433917
4782,2,47,626472
3011,3,18,461845
1159,1,9,153586
3311,4,8,531918
7598,5,25,1123906
7046,4,31,1034248
2486,5,42,354981
8838,1,4,1332554
3411,4,20,528876
2234,1,28,287132
2343,5,40,330722
9180,2,1,1410109
3476,4,40,496006
2459,1,44,276388
6259,6,23,942383
7194,4,47,1035892
2885,4,13,432227
5236,4,16,782763
2302,3,26,315564
8655,1,31,1238069
8620,1,1,1293191
7116,4,17,1059899
6034,2,16,890768
4561,4,37,638912
762,3,10,135592
6787,5,38,991298
9315,3,44,1358063
9708,2,31,1405533
2549,4,10,413002
5923,1,49,793520
5048,6,34,755056
3608,4,6,580828
7658,2,28,1130507
7900,1,28,1142423
3670,3,13,559712
2755,5,41,396991
1654,5,12,258726
4999,4,40,692142
6795,3,2,1040109
6697,6,8,1059135
2148,6,42,295007
6039,2,9,891669
4699,5,8,742937
8945,3,3,1347030
3057,4,9,473791
6092,1,13,891947
598,4,9,111516
2700,4,31,364629
3461,3,25,517417
5473,5,44,771584
4933,3,45,662964
3369,1,8,490123
1456,3,47,152281
8852,2,31,1274080
6199,4,45,885405
7444,5,45,1076536
4993,6,31,754282
9992,1,17,1481877
5411,6,47,765287
4487,4,19,680005
6515,3,3,1002130
1718,6,46,221855
4996,2,30,692460
5235,3,10,778200
5055,4,49,704052
9646,6,29,1434963
8550,1,40,1206705
3946,6,18,622407
1545,6,12,255411
7393,5,49,1077139
2193,6,23,357708
3936,4,11,601457
9254,1,9,1380340
6395,4,24,965500
3854,2,25,563413
725,3,25,105738
5393,6,47,767441
7522,5,9,1173710
9651,1,12,1426982
6100,5,11,943302
8496,5,49,1240754
9507,5,38,1398843
8183,6,28,1217954
5142,1,8,773725
8179,1,10,1226661
8708,5,25,1315946
7839,3,47,1109075
9935,6,36,1497946
2705,6,43,390723
1569,4,9,274705
3944,6,41,576796
1560,5,8,267290
2827,2,3,428174
3920,5,18,619824
801,1,46,56900
1106,6,35,138172
3670,6,17,562641
1199,4,36,152528
5588,2,28,791361
9831,6,15,1485721
690,4,19,102620
1480,4,22,223941
3475,2,6,548394
6602,5,47,950433
1684,5,7,272230
3827,5,44,516277
3894,3,48,537533
8819,5,9,1348858
2316,2,20,327354
6354,3,37,903775
7209,5,11,1090969
1069,3,2,179235
5942,2,22,849504
2395,5,48,304944
3233,1,36,412323
4363,6,5,695898
7955,2,7,1210460
4514,4,6,710510
2186,4,22,332928
3509,2,10,509114
8306,4,46,1185367
654,2,40,26299
1909,1,46,211445
1284,2,46,133063
8596,5,20,1318407
8060,5,28,1196617
7843,3,23,1168754
7706,4,35,1109229
6096,6,1,983593
6301,4,29,918713
3306,2,9,483484
1037,6,9,186355
6486,6,22,994164
2341,4,2,376239
9216,6,16,1404039
7471,6,40,1105335
6125,5,6,947860
3450,1,13,515428
8492,2,33,1228928
5280,4,19,788684
2868,5,15,454619
7155,3,33,1018777
8673,6,10,1336170
4995,6,1,810952
9663,4,12,1473207
6502,1,43,892385
7114,1,29,1014305
9858,4,17,1485694
6419,4,4,1005795
1353,5,29,195584
4646,4,7,733469
4269,3,44,592525
1074,5,13,171726
1648,6,5,312823
6793,6,6,1050914
6957,6,34,1033608
8009,6,7,1253116
5277,2,46,734710
4354,3,28,623362
2991,5,46,426296
3624,5,10,588289
6191,6,4,989615
3551,1,3,527534
504,5,25,60033
5722,3,23,840511
5815,4,27,848941
5369,3,14,818413
1376,6,38,203884
9683,6,32,1449694
7527,2,23,1107710
4642,5,47,668836
7466,5,40,1105375
7579,5,37,1122934
8487,6,3,1331852
7299,5,35,1075464
4965,1,13,713783
